# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag	
lati	latios		en-AU	
sir	lauchzelot	en-AU	
mol	lavados		en-AU		
rl	leboulerou	en-AU	
el	lektrobal	en-AU	
cl	lepumentas	en-AU	
bom	lestombaile	en-AU	
sla	letarking	en-AU	
milk	leuphorie	en-AU	
luc	leveinard	en-AU	
lk	lextremo	en-AU	
int	lezargus	en-AU	
fly	libelldra	en-AU	
lov	liebiskus	en-AU	
nm	lilliterelle	en-AU	
lil	lilyla	en-AU	
jy	lippoutou	en-AU	
li	lizardo	en-AU	
liz	lizardon	en-AU	
lop	lockpin	en-AU	
la	lokhlass	en-AU	
lo	loturzel	en-AU	
lu	lugia	en-AU	
chan	lugulabre	en-AU	
gmm	lumiflora	en-AU	
gm	lumispross	en-AU	
il	lumivole	en-AU	
luna	lunala	en-AU	
lun	lunastein	en-AU	
mac	machollo	en-AU	
mc	machollo 	en-AU	
choke	machopeur	en-AU	
mcc	machopeur 	en-AU	
champ	mackogneur	en-AU	
mccc	mackogneur 	en-AU	
bay	macronium	en-AU	
maa	madatsubomi 	en-AU	
boob	magbrant	en-AU	
mage	magearna	en-AU	
qu	magmarashi 	en-AU	
mig	magnayen	en-AU	
co	magnetilo	en-AU	
alc	mahoippu	en-AU	
mil	mahomiru	en-AU	
ser	majaspic	en-AU	
ya	makabaja	en-AU	
mak	makunoshita	en-AU	
salaz	malamandre	en-AU	
ce	malvalame	en-AU	
alo	mamanbo	en-AU	
mam	mammochon	en-AU	
ml	mampfaxo	en-AU	
mana	manaphy	en-AU	
yun	manglouton	en-AU	
zan	mangriff	en-AU	
gum	manguspektor	en-AU	
man	mantain	en-AU	
leav	manternel	en-AU	
mt	mantirps	en-AU	
mara	maracamba	en-AU	
bri	marikeck	en-AU	
ma	maril	en-AU	
azu	marilli	en-AU	
or	maritellit	en-AU	
md	marshadow	en-AU	
mas	maskeregen	en-AU	
lin	massuguma	en-AU	
mbs	mastifioso	en-AU	
moo	mastouffe	en-AU	
smo	matadogas	en-AU	
mss	maushold	en-AU	
palp	mebrana	en-AU	
2	mediras	en-AU	
asa	meditie	en-AU	
meg	meganie	en-AU	
yanm	megayanma	en-AU	
con	meistagrif	en-AU	
melt	meltan	en-AU	
so	memmeon	en-AU	
men	menki	en-AU	
te	menokurage	en-AU	
es	mentali	en-AU	
melm	merumetaru	en-AU	
mes	mesprit	en-AU	
meta	metagurosu	en-AU	
di	metamon	en-AU	
met	metangu	en-AU	
mini	meteno	en-AU	
m	mew	en-AU	
mm	mewtwo	en-AU	
tru	miamiasme	en-AU	
mau	miaouss	en-AU	
mew	miascarade	en-AU	
h	miburimu	en-AU	
ny	miezunder	en-AU	
aria	migalos	en-AU	
milo	milokaross	en-AU	
im	mimantis	en-AU	
y	mimigma	en-AU	
d	minidraco	en-AU	
1	miniras	en-AU	
jang	miniras	en-AU	
roo	minisange	en-AU	
bur	minomucchi	en-AU	
mod	miraidon	en-AU	
duo	mitodos	en-AU	
mud	mizugorou	en-AU	
go	mollimorba	en-AU	
sala	molunk	en-AU	
tyran	monargoras	en-AU	
ghl	monetigo	en-AU	
hn	monorpale	en-AU	
uni	monozyto	en-AU	
coa	monthracite	en-AU	
mars	moorabbel	en-AU	
gothi	morbitesse	en-AU	
nu	morlord	en-AU	
ve	morphon	en-AU	
mp	morupeko	en-AU	
rot	motisma	en-AU	
cyl	motorizard	en-AU	
fro	mottineva	en-AU	
sku	moufflair	en-AU	
stun	moufouette	en-AU	
dub	moumouflon	en-AU	
wl	moumouton	en-AU	
os	moustillon	en-AU	
smoo	muchul	en-AU	
vol	muciole	en-AU	
goo	mucuscule	en-AU	
et	mugendaina	en-AU	
mk	mukubird	en-AU	
stp	mukuhawk	en-AU	
mki	munkidori	en-AU	
gud	muplodocus	en-AU	
galv	mygavolt	en-AU	
maw	mysdibule	en-AU	
od	mystherbe	en-AU	
lp	mélancolux	en-AU	
umb	nachtara	en-AU	
pat	nagelotz	en-AU	
whis	namazun	en-AU	
no	nasgnet	en-AU	
x	natio	en-AU	
n	naty	en-AU	
ne	necrozma	en-AU	
mn	negapi	en-AU	
ohb	neitram	en-AU	
lum	neoranto	en-AU	
king 	nidoking	en-AU	
quee	nidoqueen 	en-AU	
nid	nidoran	en-AU	
rina	nidorina	en-AU	
rino	nidorino	en-AU	
tat	nigirigon	en-AU	
uu	nigosier	en-AU	
ni	nihilego	en-AU	
mu	ninjatom	en-AU	
exe	noadkoko	en-AU	
um	noctali	en-AU	
da	nodulithe	en-AU	
ow	noeunoeuf	en-AU	
cac	noktuska	en-AU	
fn	normifin	en-AU	
gb	nosferalto	en-AU	
zu	nosferapti	en-AU	
cr	nostenfer	en-AU	
sf	nounourson	en-AU	
perr	nyaikingu	en-AU	
glam	nyarmar	en-AU	
sy	nymphali	en-AU	
polll	nyorobon	en-AU
poli	nyorotono	en-AU	
op	ogerpon		en-AU	
run	oghnatoll	en-AU	
eele	ohmassacre	en-AU	
aud	ohrdoch	en-AU	
oc	okutank	en-AU	
abl	olithena	en-AU	
dl	olivado	en-AU	
sml	olivini	en-AU	
fx	onondo	en-AU	
bin	opermine	en-AU	
prim	oratoria	en-AU	
maro	ossatueur	en-AU	
pop	otaquin	en-AU	
grap	otosupasu	en-AU	
groo	ouistempo	en-AU	
cc	ouisticram	en-AU	
gur	ouvrifier	en-AU	
p	pachirisu	en-AU	
cop	pachyradjah	en-AU	
chim	palimpalim	en-AU	
pal	palkia	en-AU	
pan	pam-pam	en-AU	
p2	pamamo	en-AU	
p3	pamomamo	en-AU	
pang	pandarbare	en-AU	
mrr	pantifrost 	en-AU	
jr	pantimimi	en-AU	
mr	pantimos	en-AU	
ska	panzaeron	en-AU	
mot	papilord	en-AU	
age	papinella	en-AU	
jum	papungha	en-AU	
bo	paragoni	en-AU	
para	parasekuto	en-AU	
par	parasu	en-AU	
coc	parfinesse	en-AU	
bolt	parusuwan	en-AU	
ff	passerouge	en-AU	
fd	patachiot	en-AU	
pa	patcheel	en-AU	
az	patchirudon	en-AU	
e	pawou	en-AU	
put	pecharunt 	en-AU	
ssc	pelage-sable	en-AU	
mor	pelzebub	en-AU	
amp	pharamp	en-AU	
phe	pheromosa 	en-AU	
phi	phione	en-AU	
dr	phlegleon	en-AU	
hab	piafabec	en-AU	
pi	picassaut	en-AU	
duc	piccolente	en-AU	
pp	pichū	en-AU	
trum	piclairon	en-AU	
ctd	pietace	en-AU	
c	pii	en-AU	
pik	pikachū	en-AU	
dra	piondragi	en-AU	
rap	pionskora	en-AU	
cle	pippi	en-AU	
irr	pitrouille	en-AU	
chat	plaudagei	en-AU	
fif	pochiena	en-AU	
p1	pohm	en-AU	
poi	poipole	en-AU	
seak	poissoroy	en-AU	
bea	polagriffe	en-AU	
cbc	polarhume	en-AU	
shup	polichombr	en-AU	
fp	pomdrapi	en-AU	
ach	pondralugon	en-AU	
pon	ponita	en-AU	
por	porygon	en-AU	
pw	porygon2	en-AU	
pz	porygonz	en-AU	
pl	posipi	en-AU	
prin	pottaishi	en-AU	
polt	pottodesu	en-AU	
spr	poussacha	en-AU	
torc	poussifeu	en-AU	
cast	powalen	en-AU	
ti	praktibalk	en-AU	
viv	prismillon	en-AU	
meo	psiaugon	en-AU	
en	psykokwak	en-AU	
esp	psystigri	en-AU	
pt	ptera	en-AU	
pol	ptitard	en-AU	
tyt	ptyranidur	en-AU	
wig	pukurin	en-AU	
bal	puppance	en-AU	
lew	pygraulon	en-AU	
cin	pyrobut	en-AU	
ign	pyronille	en-AU	
gr	quajutsu	en-AU	
poll	quaputzi	en-AU	
pww	quaputzi	en-AU	
pass	quartermak	en-AU	
qxx	quaxwell 	en-AU	
sw	quiekel	en-AU	
oq	qwilpik	en-AU	
rab	rabifutto	en-AU	
kroo	rabigator	en-AU	
ge	racaillou	en-AU	
ra	raikou	en-AU	
ram	rameidon	en-AU	
yad	ramoloss	en-AU	
fea	rapasdepic	en-AU	
kor	rattfratz	en-AU	
rat	rattikarl	en-AU	
ray	rayquaza 	en-AU	
rar	reakoiru	en-AU	
cx	rediba 	en-AU	
reg	regice	en-AU	
regd	regidrago	en-AU	
regi	regieleki	en-AU	
rr	regirock	en-AU	
regis	registeel	en-AU	
lx	rentorar	en-AU	
gv	reptain	en-AU	
res	reshiram	en-AU	
haw	resladero	en-AU	
ao	rettan	en-AU	
rvr	revavroom 	en-AU	
abo	rexblisar	en-AU	
rh	rhinocorne	en-AU	
swo	rhinolove	en-AU	
gtu	riesenzahn	en-AU	
rhy	rihornior	en-AU	
fa	rikikirin	en-AU	
ur	ringuma	en-AU	
ri	rioru	en-AU	
don	rizeros	en-AU	
iw	rocabot 	en-AU	
kro	rokkaiman	en-AU	
pu	rondoudou	en-AU	
rel	ronflex	en-AU	
skw	rongourmand	en-AU	
dril	rototaupe	en-AU	
thi	roublenard	en-AU	
pg	roucarnage	en-AU	
pd	roucoups	en-AU	
bx	roussil	en-AU	
bud	rozbouton	en-AU	
ro	rozeria	en-AU	
ros	rozureido	en-AU	
rib	rubombelle	en-AU	
vil	ruffresia	en-AU	
lc	rukario	en-AU	
lux	rukushio	en-AU	
ludi	runpappa	en-AU	
sa	sabelette	en-AU	
san	sablaireau	en-AU	
tus	sabonea	en-AU	
sanda	sadaija	en-AU	
pod	safcon	en-AU	
gor	sakurabyss	en-AU	
toxt	salarsen	en-AU	
bsc	salmagnis	en-AU	
ga	saltigant	en-AU	
sha	samehader	en-AU	
bb	sapereau	en-AU	
tan	saquedeneu	en-AU	
goli	sarmuraï	en-AU	
arr	sashikamasu	en-AU	
bg	satchimushi 	en-AU	
bp	satchimushi 	en-AU	
lee	sawamular	en-AU	
bsh	scalproie	en-AU	
pin	scarabrute	en-AU	
tm	schallquap 	en-AU	
sd	schilterus	en-AU	
loc	schlapor	en-AU	
lot	schlukwech	en-AU	
gu	schluppuck	en-AU	
lick	schlurplek	en-AU	
barb	schmerbe	en-AU	
mag	schneckmag	en-AU	
shm	schnuthelm	en-AU	
su	schwalbini	en-AU	
tai	schwalboss	en-AU	
swe	schwalboss	en-AU	
roll	scobolide	en-AU	
cent	scolocendre	en-AU	
gli	scorplane	en-AU	
bol	sedimantur	en-AU	
sea	seemon	en-AU	
dram	sen-long	en-AU	
i	sepiatop	en-AU	
wwl	serpente-eau	en-AU	
sni	serpifeu	en-AU	
q	shadow 	en-AU	
ms	shaofouine	en-AU	
shay	shaymin	en-AU	
ss	sheinux	en-AU	
tn	shibishirasu 	en-AU	
ll	shishiko	en-AU	
craw	shizariger	en-AU	
dew	shizukumo	en-AU	
puru	shnurgarst	en-AU	
vap	showers 	en-AU	
str	sichlor	en-AU	
hor	sihorn	en-AU	
silv	silvally	en-AU	
dec	silvarro	en-AU	
inf	simiabraz	en-AU	
ala	simsala	en-AU	
sud	simularbre	en-AU	
snt	sinistcha	en-AU	
dhel	sinistrail	en-AU	
rb	skarabaks	en-AU	
